city_id,year,month,avg_temperature
bkk,2014,1,76.82
bkk,2014,2,81.86
bkk,2014,3,85.75
bkk,2014,4,87.54
bkk,2014,5,87.76
bkk,2014,6,86.22
bkk,2014,7,85.27
bkk,2014,8,83.78
bkk,2014,9,84.2
bkk,2014,10,82.91
bkk,2014,11,83.65
bkk,2014,12,80.38
lon,2014,1,46.12
lon,2014,2,46.54
lon,2014,3,49.12
lon,2014,4,54.1
lon,2014,5,57.66
lon,2014,6,63.46
lon,2014,7,68.52
lon,2014,8,63.65
lon,2014,9,62.73
lon,2014,10,58.57
lon,2014,11,50.78
lon,2014,12,44.76
nyc,2014,1,28.4
nyc,2014,2,30.85
nyc,2014,3,37.81
nyc,2014,4,52.35
nyc,2014,5,64.96
nyc,2014,6,73.84
nyc,2014,7,77.67
nyc,2014,8,74.53
nyc,2014,9,69.01
nyc,2014,10,58.92
nyc,2014,11,43.73
nyc,2014,12,38.84
sel,2014,1,29.3
sel,2014,2,33.14
sel,2014,3,44.32
sel,2014,4,54.41
sel,2014,5,63.78
sel,2014,6,72.26
sel,2014,7,77.54
sel,2014,8,76.12
sel,2014,9,70.28
sel,2014,10,58.11
sel,2014,11,45.95
sel,2014,12,26.32
sfo,2014,1,54.08
sfo,2014,2,53.93
sfo,2014,3,57.71
sfo,2014,4,58.47
sfo,2014,5,62.2
sfo,2014,6,62.31
sfo,2014,7,65.0
sfo,2014,8,65.13
sfo,2014,9,66.23
sfo,2014,10,66.35
sfo,2014,11,59.26
sfo,2014,12,56.06
sgp,2014,1,80.21
sgp,2014,2,82.28
sgp,2014,3,83.43
sgp,2014,4,84.2
sgp,2014,5,84.66
sgp,2014,6,85.76
sgp,2014,7,84.81
sgp,2014,8,82.9
sgp,2014,9,84.8
sgp,2014,10,84.39
sgp,2014,11,82.45
sgp,2014,12,81.85
syd,2014,1,73.93
syd,2014,2,72.78
syd,2014,3,72.45
syd,2014,4,67.21
syd,2014,5,63.86
syd,2014,6,58.75
syd,2014,7,56.38
syd,2014,8,55.94
syd,2014,9,62.07
syd,2014,10,66.97
syd,2014,11,70.28
syd,2014,12,72.2
tpe,2014,1,62.2
tpe,2014,2,61.69
tpe,2014,3,65.92
tpe,2014,4,72.33
tpe,2014,5,77.72
tpe,2014,6,82.64
tpe,2014,7,87.21
tpe,2014,8,86.53
tpe,2014,9,85.65
tpe,2014,10,76.34
tpe,2014,11,72.06
tpe,2014,12,61.6
tyo,2014,1,43.86
tyo,2014,2,41.74
tyo,2014,3,50.24
tyo,2014,4,57.84
tyo,2014,5,67.33
tyo,2014,6,72.67
tyo,2014,7,78.52
tyo,2014,8,80.7
tyo,2014,9,72.94
tyo,2014,10,65.84
tyo,2014,11,57.96
tyo,2014,12,46.31
yvr,2014,1,39.54
yvr,2014,2,36.44
yvr,2014,3,44.26
yvr,2014,4,49.78
yvr,2014,5,57.21
yvr,2014,6,60.25
yvr,2014,7,66.21
yvr,2014,8,66.66
yvr,2014,9,60.87
yvr,2014,10,55.33
yvr,2014,11,42.24
yvr,2014,12,40.71
bkk,2015,1,78.35
bkk,2015,2,82.17
bkk,2015,3,85.46
bkk,2015,4,86.39
bkk,2015,5,87.96
bkk,2015,6,86.9
bkk,2015,7,86.33
bkk,2015,8,85.54
bkk,2015,9,84.12
bkk,2015,10,83.38
bkk,2015,11,84.9
bkk,2015,12,83.18
lon,2015,1,43.16
lon,2015,2,42.31
lon,2015,3,46.88
lon,2015,4,51.68
lon,2015,5,56.39
lon,2015,6,62.45
lon,2015,7,66.39
lon,2015,8,65.45
lon,2015,9,58.31
lon,2015,10,54.98
lon,2015,11,52.87
lon,2015,12,53.54
nyc,2015,1,28.23
nyc,2015,2,22.61
nyc,2015,3,36.33
nyc,2015,4,52.9
nyc,2015,5,66.92
nyc,2015,6,70.9
nyc,2015,7,77.8
nyc,2015,8,77.5
nyc,2015,9,72.83
nyc,2015,10,56.27
nyc,2015,11,51.01
nyc,2015,12,48.6
sel,2015,1,28.67
sel,2015,2,32.82
sel,2015,3,40.79
sel,2015,4,54.67
sel,2015,5,63.79
sel,2015,6,72.61
sel,2015,7,77.43
sel,2015,8,78.42
sel,2015,9,70.76
sel,2015,10,58.27
sel,2015,11,47.3
sel,2015,12,33.83
sfo,2015,1,53.36
sfo,2015,2,57.9
sfo,2015,3,58.82
sfo,2015,4,57.18
sfo,2015,5,56.93
sfo,2015,6,61.19
sfo,2015,7,64.83
sfo,2015,8,65.98
sfo,2015,9,65.01
sfo,2015,10,63.63
sfo,2015,11,54.04
sfo,2015,12,50.52
sgp,2015,1,81.58
sgp,2015,2,81.72
sgp,2015,3,83.56
sgp,2015,4,84.19
sgp,2015,5,84.59
sgp,2015,6,85.6
sgp,2015,7,85.54
sgp,2015,8,84.31
sgp,2015,9,84.9
sgp,2015,10,85.07
sgp,2015,11,83.26
sgp,2015,12,83.04
syd,2015,1,74.7
syd,2015,2,74.38
syd,2015,3,71.51
syd,2015,4,65.26
syd,2015,5,61.34
syd,2015,6,57.15
syd,2015,7,53.94
syd,2015,8,57.7
syd,2015,9,60.66
syd,2015,10,69.7
syd,2015,11,70.82
syd,2015,12,72.03
tpe,2015,1,61.85
tpe,2015,2,63.06
tpe,2015,3,66.25
tpe,2015,4,73.09
tpe,2015,5,79.5
tpe,2015,6,86.4
tpe,2015,7,86.5
tpe,2015,8,83.7
tpe,2015,9,81.38
tpe,2015,10,77.24
tpe,2015,11,74.34
tpe,2015,12,65.93
tyo,2015,1,43.95
tyo,2015,2,43.55
tyo,2015,3,50.88
tyo,2015,4,58.2
tyo,2015,5,69.49
tyo,2015,6,71.59
tyo,2015,7,79.12
tyo,2015,8,80.39
tyo,2015,9,73.49
tyo,2015,10,66.43
tyo,2015,11,58.91
tyo,2015,12,50.94
yvr,2015,1,42.34
yvr,2015,2,45.71
yvr,2015,3,47.19
yvr,2015,4,48.98
yvr,2015,5,58.23
yvr,2015,6,64.52
yvr,2015,7,66.7
yvr,2015,8,65.03
yvr,2015,9,57.38
yvr,2015,10,53.68
yvr,2015,11,41.61
yvr,2015,12,40.89
bkk,2016,1,81.17
bkk,2016,2,81.96
bkk,2016,3,86.42
bkk,2016,4,89.93
bkk,2016,5,89.54
bkk,2016,6,85.02
bkk,2016,7,84.62
bkk,2016,8,85.9
bkk,2016,9,83.66
bkk,2016,10,83.4
bkk,2016,11,84.19
bkk,2016,12,81.61
lon,2016,1,45.49
lon,2016,2,44.3
lon,2016,3,45.31
lon,2016,4,49.01
lon,2016,5,57.81
lon,2016,6,61.67
lon,2016,7,67.1
lon,2016,8,67.72
lon,2016,9,65.64
lon,2016,10,54.59
lon,2016,11,46.29
lon,2016,12,46.4
nyc,2016,1,33.33
nyc,2016,2,37.27
nyc,2016,3,47.27
nyc,2016,4,52.28
nyc,2016,5,62.14
nyc,2016,6,72.2
nyc,2016,7,78.79
nyc,2016,8,78.97
nyc,2016,9,71.33
nyc,2016,10,57.56
nyc,2016,11,48.94
nyc,2016,12,36.95
sel,2016,1,25.67
sel,2016,2,31.58
sel,2016,3,42.94
sel,2016,4,55.47
sel,2016,5,65.57
sel,2016,6,73.03
sel,2016,7,78.57
sel,2016,8,81.57
sel,2016,9,72.23
sel,2016,10,59.6
sel,2016,11,43.76
sel,2016,12,34.01
sfo,2016,1,52.34
sfo,2016,2,56.22
sfo,2016,3,57.08
sfo,2016,4,59.17
sfo,2016,5,59.54
sfo,2016,6,61.68
sfo,2016,7,61.14
sfo,2016,8,61.61
sfo,2016,9,62.86
sfo,2016,10,62.09
sfo,2016,11,57.9
sfo,2016,12,51.11
sgp,2016,1,83.88
sgp,2016,2,83.02
sgp,2016,3,85.28
sgp,2016,4,86.2
sgp,2016,5,85.82
sgp,2016,6,84.32
sgp,2016,7,84.34
sgp,2016,8,85.9
sgp,2016,9,84.71
sgp,2016,10,84.5
sgp,2016,11,82.72
sgp,2016,12,82.97
syd,2016,1,73.27
syd,2016,2,75.41
syd,2016,3,73.19
syd,2016,4,68.91
syd,2016,5,63.7
syd,2016,6,58.5
syd,2016,7,57.24
syd,2016,8,57.93
syd,2016,9,62.48
syd,2016,10,65.94
syd,2016,11,70.23
syd,2016,12,74.47
tpe,2016,1,61.29
tpe,2016,2,59.79
tpe,2016,3,63.41
