city_id,year,coli
lon,2014,113.3
syd,2014,111.8
tyo,2014,104.2
sgp,2014,101.3
nyc,2014,100.0
yvr,2014,98.1
sel,2014,92.7
sfo,2014,93.7
hkg,2014,82.7
tpe,2014,62.0
bkk,2014,52.8
lon,2015,105.8
syd,2015,100.4
nyc,2015,100.0
sgp,2015,97.9
sfo,2015,97.0
yvr,2015,90.2
tyo,2015,85.4
sel,2015,83.7
hkg,2015,77.4
tpe,2015,55.9
bkk,2015,52.1
sfo,2016,103.4
nyc,2016,100.0
lon,2016,94.8
tyo,2016,85.1
sgp,2016,83.7
hkg,2016,81.5
syd,2016,80.9
sel,2016,78.3
yvr,2016,65.0
tpe,2016,56.7
bkk,2016,48.7
nyc,2017,100.0
sfo,2017,99.1
tyo,2017,91.0
syd,2017,86.0
sgp,2017,82.4
lon,2017,81.6
hkg,2017,80.0
sel,2017,79.8
yvr,2017,72.7
tpe,2017,66.2
bkk,2017,49.6
nyc,2018,100.0
sfo,2018,97.8
tyo,2018,93.8
sgp,2018,91.4
syd,2018,90.8
lon,2018,88.7
sel,2018,87.6
hkg,2018,78.7
yvr,2018,75.6
tpe,2018,72.4
bkk,2018,55.8
nyc,2019,100.0
sfo,2019,91.7
tyo,2019,88.5
sel,2019,82.8
lon,2019,81.4
syd,2019,78.4
hkg,2019,78.1
sgp,2019,69.8
yvr,2019,67.9
tpe,2019,63.1
bkk,2019,55.2
nyc,2020,100.0
sfo,2020,91.5
tyo,2020,86.9
sel,2020,85.5
lon,2020,81.3
sgp,2020,81.1
syd,2020,79.1
hkg,2020,77.2
yvr,2020,73.9
tpe,2020,64.3
bkk,2020,57.2
nyc,2021,100.0
sfo,2021,93.3
tyo,2021,91.3
syd,2021,89.1
sel,2021,88.4
lon,2021,86.7
sgp,2021,85.6
hkg,2021,79.9
yvr,2021,76.2
tpe,2021,67.2
bkk,2021,55.4
nyc,2022,100.0
sfo,2022,93.9
lon,2022,85.6
tyo,2022,85.6
sgp,2022,84.0
syd,2022,83.2
hkg,2022,80.7
sel,2022,78.7
yvr,2022,76.6
tpe,2022,65.8
bkk,2022,50.4
nyc,2023,100.0
sfo,2023,99.6
sgp,2023,85.9
syd,2023,81.5
sel,2023,78.9
hkg,2023,75.7
lon,2023,74.2
tyo,2023,73.7
yvr,2023,71.7
tpe,2023,57.6
bkk,2023,49.8
nyc,2024,100.0
sfo,2024,92.5
sgp,2024,81.9
lon,2024,80.1
syd,2024,75.9
yvr,2024,74.4
hkg,2024,71.5
sel,2024,70.3
tyo,2024,57.4
tpe,2024,52.0
bkk,2024,42.4
